# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 1.366068
2, 0.891088, , , 1.366068
3, 0.859871, , , 1.366068
4, 0.845069, , , 1.366068
5, 0.836429, , , 1.366068
6, 0.830767, , , 1.366068
7, 0.82677, , , 1.366068
8, 0.823797, , , 1.366068
9, 0.821499, , , 1.366068
10, 0.81967, , , 1.366068
11, 0.81818, , , 1.366068
12, 0.816942, , , 1.366068
13, 0.815897, , , 1.366068
14, 0.815004, , , 1.366068
15, 0.814232, , , 1.366068
16, 0.813557, , , 1.366068
